Título,Fecha,Enlace
"Así es el entramado de Grifols, Scranton, sus bancos y sus abogados",,https://www.expansion.com/empresas/2024/01/15/65a50e66e5fdead2368b4586.html
"Álvarez-Pallete: ""Telefónica suscita interés inversor porque es clave en la nueva era digital""",,https://www.expansion.com/empresas/tecnologia/2024/01/15/65a4568f468aeba5428b4578.html
Portobello revoluciona las gasolineras low cost con la compra de Plenoil por 400 millones,,https://www.expansion.com/empresas/energia/2024/01/15/65a4e2cd468aebe42c8b4581.html
Un misil disparado desde Yemen alcanza a un buque comercial de propiedad estadounidense,,https://www.expansion.com/economia/financial-times/2024/01/15/65a56196e5fdeaa5698b45ca.html
Hacienda elevará el mínimo exento en el IRPF para adecuarlo al salario mínimo,,https://www.expansion.com/economia/2024/01/15/65a528e5468aebb5498b459f.html
Las presiones de los bajistas alcanzan a uno de los valores estrella de 2023,,https://www.expansion.com/mercados/2024/01/15/65a1441a468aeb62708b45c4.html
JPMorgan se libra de indemnizar a Martín-Artajo por la Ballena de Londres,,https://www.expansion.com/empresas/banca/2024/01/15/65a3b157e5fdea093c8b4636.html
żQué armamento tiene desplegado EEUU en el Mar Rojo?,,https://videos.expansion.com/v/0_kzgbnoo6-que-armamento-tiene-desplegando-eeuu-en-el-mar-rojo?uetv_pl=0&count=0
Por qué los ataques de EEUU en Oriente Próximo están reavivando el temor por el petróleo y la inflación,,https://www.expansion.com/economia/financial-times/2024/01/15/65a53f2ce5fdeaa2618b45f0.html
"Torres (BBVA): ""El dividendo a cargo de 2023 será claramente superior al del ańo anterior""",,https://www.expansion.com/empresas/banca/2024/01/15/65a4f113468aeba06d8b459d.html
IBEX 35,,#
La formación en el extranjero multiplica las posibilidades de éxito profesional,,https://www.expansion.com/uestudio/2024/01/12/65a104a6e5fdea3b2a8b4618.html
Santander coloca bonos por 1.250 millones a diez ańos,,https://www.expansion.com/mercados/2024/01/15/65a57ef5468aebf4618b45bf.html
Los CEOs mundiales avisan: habrá que reinventarse para no morir ante la IA y el cambio climático,,https://www.expansion.com/economia/2024/01/15/65a56f79468aebba038b45b8.html
El dueńo de los 'Manolitos' da entrada al fondo VGO,,https://www.expansion.com/empresas/distribucion/2024/01/15/65a4682b468aebb45d8b457d.html
Iberia plantea 1.727 salidas en el 'handling' y crear una nueva filial,,https://www.expansion.com/empresas/transporte/2024/01/15/65a516bbe5fdea093c8b467b.html
"Los 'short sellers' enfilan a las energéticas Audax, Enagás y Solaria",,https://www.expansion.com/empresas/energia/2024/01/15/65a462dd468aebb3038b4585.html
Grifols pactó con la gran banca en 2021 excluir mil millones de su ratio de deuda,,https://www.expansion.com/empresas/2024/01/15/65a419f4e5fdea9e608b458c.html
Santander incorpora a 4.500 empleados con perfil digital,,https://www.expansion.com/empresas/banca/2024/01/14/65a3ffca468aebb3038b456e.html
